date,kwh
2024-11-12,41.63257
2024-11-13,28.414949999999997
2024-11-14,9.130130000000001
2024-11-15,7.16695
2024-11-16,34.01934
2024-11-17,22.95888
2024-11-18,33.67754
2024-11-19,37.110910000000004
2024-11-20,0.5694
2024-11-21,0.23106
2024-11-22,5.97626
2024-11-23,17.342109999999998
2024-11-24,6.52496
2024-11-25,3.08255
2024-11-26,14.30393
2024-11-27,8.34336
2024-11-28,23.56079
2024-11-29,1.72107
2024-11-30,1.24561
2024-12-01,12.17444
2024-12-02,2.08688
2024-12-03,4.35084
2024-12-04,5.03846
2024-12-05,4.49462
2024-12-06,0.26227
2024-12-07,1.5032800000000002
2024-12-08,4.92357
2024-12-09,9.00519
2024-12-10,12.78199
2024-12-11,8.8097
2024-12-12,4.70512
2024-12-13,1.86755
2024-12-14,1.00016
2024-12-15,0.02033
2024-12-16,9.618120000000001
2024-12-17,10.15456
2024-12-18,0.36927
2024-12-19,2.36923
2024-12-20,0.9635100000000001
2024-12-21,0.22767
2024-12-22,1.08246
2024-12-23,0.09816
2024-12-24,1.05179
2024-12-25,3.4391100000000003
2024-12-26,7.579090000000001
2024-12-27,11.030000000000001
2024-12-28,10.08261
2024-12-29,5.2056000000000004
2024-12-30,12.479379999999999
2024-12-31,13.85811
2025-01-01,3.42661
2025-01-02,4.84773
2025-01-03,16.30332
2025-01-04,16.04375
2025-01-05,15.39914
2025-01-06,2.16106
2025-01-07,0.87291
2025-01-08,0.40091
2025-01-09,0.00024
2025-01-10,0.03427
2025-01-11,1.17831
2025-01-12,0.6484
2025-01-13,0.04821
2025-01-14,1.10996
2025-01-15,0.95409
2025-01-16,4.70988
2025-01-17,4.81659
2025-01-18,9.42818
2025-01-19,32.58016
2025-01-20,5.5009
2025-01-21,0.33689
2025-01-22,0.2742
2025-01-23,0.00747
2025-01-24,2.84916
2025-01-25,7.519779999999999
2025-01-26,15.03021
2025-01-27,14.91327
2025-01-28,2.26687
2025-01-29,0.33649999999999997
2025-01-30,1.2146599999999999
2025-01-31,1.08536
2025-02-01,1.31563
2025-02-02,0.63994
2025-02-03,0.52607
2025-02-04,0.38593
2025-02-05,0.97837
2025-02-06,2.65262
2025-02-07,1.60491
2025-02-08,0.18937
2025-02-09,3.01793
2025-02-10,5.22398
2025-02-11,8.43961
2025-02-12,21.626849999999997
2025-02-13,22.34277
2025-02-14,23.632039999999996
2025-02-15,9.42633
2025-02-16,21.56151
2025-02-17,31.83589
2025-02-18,48.23964
2025-02-19,69.32769
2025-02-20,66.14579
2025-02-21,46.976910000000004
2025-02-22,22.24425
2025-02-23,45.95401
2025-02-24,13.2772
2025-02-25,23.779510000000002
2025-02-26,89.38197
2025-02-27,63.52211
2025-02-28,109.05737
2025-03-01,50.114720000000005
2025-03-02,44.4785
2025-03-03,57.90383
2025-03-04,67.18114
2025-03-05,62.77852
2025-03-06,40.79378
2025-03-07,115.87198000000001
2025-03-08,115.57335
2025-03-09,16.74864
2025-03-10,12.40258
2025-03-11,63.137069999999994
2025-03-12,63.83327
2025-03-13,66.61068
2025-03-14,108.86077
2025-03-15,56.63211
2025-03-16,113.08432
2025-03-17,32.10492
2025-03-18,77.04777
2025-03-19,92.50086
2025-03-20,78.94233
2025-03-21,152.89267999999998
2025-03-22,164.21615
2025-03-23,170.26434999999998
2025-03-24,111.24510000000001
2025-03-25,58.32093999999999
2025-03-26,133.63807
2025-03-27,102.87255
2025-03-28,80.06127
2025-03-29,158.39156
2025-03-30,128.92612
2025-03-31,183.09784000000002
2025-04-01,156.45629
2025-04-02,143.49608
2025-04-03,189.37506
2025-04-04,179.47221000000002
2025-04-05,136.95238
2025-04-06,57.68222
2025-04-07,158.80742
2025-04-08,179.06821
2025-04-09,178.18648
2025-04-10,59.30086
2025-04-11,184.06538999999998
2025-04-12,144.59359999999998
2025-04-13,222.69996
2025-04-14,108.66526999999999
2025-04-15,214.4027
2025-04-16,187.38776000000001
2025-04-17,198.73126
2025-04-18,53.53627
2025-04-19,60.76812
2025-04-20,61.21613
2025-04-21,224.19366
2025-04-22,53.793189999999996
2025-04-23,107.34917000000002
2025-04-24,142.06902000000002
2025-04-25,252.7843
2025-04-26,181.75627
2025-04-27,223.66757
2025-04-28,88.5595
2025-04-29,189.05616
2025-04-30,70.42453
2025-05-01,225.23928
2025-05-02,104.41148
2025-05-03,225.32416999999998
2025-05-04,150.88519
2025-05-05,135.08721
2025-05-06,143.97442
2025-05-07,173.33422
2025-05-08,101.13332
2025-05-09,37.75104
2025-05-10,187.40397000000002
2025-05-11,272.63487999999995
2025-05-12,256.03348
2025-05-13,115.18817000000001
2025-05-14,192.10434
2025-05-15,240.09785
2025-05-16,248.63083
2025-05-17,238.47238
2025-05-18,282.04801
2025-05-19,275.67004
2025-05-20,237.93425000000002
2025-05-21,126.55605
2025-05-22,40.36165
2025-05-23,47.66051
2025-05-24,163.44845
2025-05-25,266.91458
2025-05-26,140.10922
2025-05-27,233.36849999999998
2025-05-28,206.88413
2025-05-29,239.52008999999998
2025-05-30,108.98123000000001
2025-05-31,278.19613000000004
2025-06-01,257.8614
2025-06-02,208.80633999999998
2025-06-03,278.08997999999997
2025-06-04,100.36147
2025-06-05,237.66958
2025-06-06,100.26456
2025-06-07,127.46492
2025-06-08,269.82423
2025-06-09,146.72045
2025-06-10,245.30023999999997
2025-06-11,120.26959000000001
2025-06-12,280.45564
2025-06-13,243.19259
2025-06-14,270.56583
2025-06-15,219.9868
2025-06-16,63.308659999999996
2025-06-17,206.34055999999998
2025-06-18,234.74445
2025-06-19,189.35048999999998
2025-06-20,173.33256
2025-06-21,165.0527
2025-06-22,269.8244
2025-06-23,28.86193
2025-06-24,34.16484
2025-06-25,183.74349
2025-06-26,279.32999
2025-06-27,82.6855
2025-06-28,158.87234
2025-06-29,255.53143
2025-06-30,273.68501
2025-07-01,227.58401
2025-07-02,46.68875
2025-07-03,37.8714
2025-07-04,259.0004
2025-07-05,207.16048
2025-07-06,35.12946
2025-07-07,126.38692
2025-07-08,238.85935
2025-07-09,277.16769999999997
2025-07-10,278.09505
2025-07-11,278.10345
2025-07-12,269.09848999999997
2025-07-13,184.60516
2025-07-14,245.89643
2025-07-15,265.02815999999996
2025-07-16,267.68455
2025-07-17,269.23026000000004
2025-07-18,267.94588
2025-07-19,261.23229
2025-07-20,261.31352000000004
2025-07-21,259.42959
2025-07-22,252.31864000000002
2025-07-23,216.64929
2025-07-24,251.30745000000002
2025-07-25,166.78991
2025-07-26,160.40614
2025-07-27,226.92314
2025-07-28,236.83321999999998
2025-07-29,51.9333
2025-07-30,262.78818
2025-07-31,138.78584
2025-08-01,159.10724
2025-08-02,85.38593
2025-08-03,142.03322
2025-08-04,59.50859
2025-08-05,164.61983
2025-08-06,147.56757
2025-08-07,232.86467
2025-08-08,186.67506
2025-08-09,219.19583
2025-08-10,221.49446
2025-08-11,130.96059
2025-08-12,216.69866
2025-08-13,223.59293
2025-08-14,224.99192
2025-08-15,162.60469
2025-08-16,57.76218
2025-08-17,238.53846
2025-08-18,202.36936
2025-08-19,220.10724
2025-08-20,179.98336999999998
2025-08-21,147.29246999999998
2025-08-22,109.61535
2025-08-23,117.38972
2025-08-24,150.72189
2025-08-25,146.61066
2025-08-26,170.07813
2025-08-27,190.00237
2025-08-28,162.03697
2025-08-29,55.8146
2025-08-30,138.65267
2025-08-31,182.80435
2025-09-01,197.16942
2025-09-02,43.70683
2025-09-03,72.81231
2025-09-04,105.13993
2025-09-05,112.68748
2025-09-06,32.80829
2025-09-07,64.69029
2025-09-08,133.88425
2025-09-09,57.77727
2025-09-10,107.01013
2025-09-11,35.508570000000006
2025-09-12,51.04743
2025-09-13,130.83296
2025-09-14,45.7899
2025-09-15,61.54815
2025-09-16,57.88072
2025-09-17,50.7321
2025-09-18,87.7792
2025-09-19,135.75893000000002
2025-09-20,119.79712
2025-09-21,31.34784
2025-09-22,138.03704
2025-09-23,141.26479
2025-09-24,103.31511
2025-09-25,132.50053
2025-09-26,126.47371000000001
2025-09-27,102.50318
2025-09-28,31.26953
2025-09-29,48.875640000000004
2025-09-30,65.04334
2025-10-01,79.06297
2025-10-02,121.45676
2025-10-03,103.72158999999999
2025-10-04,24.508139999999997
2025-10-05,30.113889999999998
2025-10-06,37.688810000000004
2025-10-07,32.196889999999996
2025-10-08,30.09335
2025-10-09,50.72492
2025-10-10,77.00243
2025-10-11,106.56604999999999
2025-10-12,98.16263000000001
2025-10-13,24.774729999999998
2025-10-14,62.16786
2025-10-15,81.38816
2025-10-16,85.23372
2025-10-17,52.03073
2025-10-18,76.7881
2025-10-19,81.4493
2025-10-20,42.10128
2025-10-21,11.509689999999999
2025-10-22,4.1546
2025-10-23,8.78148
2025-10-24,3.06122
2025-10-25,7.44058
2025-10-26,28.07224
2025-10-27,11.74639
2025-10-28,9.92948
2025-10-29,28.870350000000002
2025-10-30,4.61467
2025-10-31,10.97798
2025-11-01,9.43652
2025-11-02,32.593540000000004
2025-11-03,25.61269
2025-11-04,5.41621
2025-11-05,12.506499999999999
2025-11-06,25.781190000000002
2025-11-07,4.51801
2025-11-08,5.48394
2025-11-09,40.31385
2025-11-10,3.39149
2025-11-11,7.6044599999999996
2025-11-12,1.4807700000000001
2025-11-13,28.265140000000002
2025-11-14,42.61141
2025-11-15,7.43743
2025-11-16,21.3154
2025-11-17,40.85222
2025-11-18,23.73982
2025-11-19,8.47846
2025-11-20,4.9346499999999995
2025-11-21,26.04142
2025-11-22,5.61496
2025-11-23,3.8062899999999997
2025-11-24,1.9072900000000002
2025-11-25,1.00336
2025-11-26,9.17442
2025-11-27,0.01514
2025-11-28,15.61366
2025-11-29,5.66444
2025-11-30,1.77109
2025-12-01,1.427
2025-12-02,2.1047599999999997
2025-12-03,12.572659999999999
2025-12-04,2.77662
2025-12-05,5.06853
2025-12-06,0.21326
2025-12-07,0.91764
2025-12-08,0.55515
2025-12-09,5.34797
2025-12-10,0.41312
2025-12-11,1.37751
2025-12-12,0.43923999999999996
2025-12-13,0.0
2025-12-14,0.6516
2025-12-15,1.23665
2025-12-16,7.887169999999999
2025-12-17,1.8705100000000001
2025-12-18,1.27773
2025-12-19,0.23631000000000002
2025-12-20,8.5932
2025-12-21,8.935500000000001
2025-12-22,0.53505
2025-12-23,0.51736
2025-12-24,2.6160300000000003
2025-12-25,0.6883900000000001
2025-12-26,5.90982
2025-12-27,10.43168
2025-12-28,4.30124
2025-12-29,9.69537
2025-12-30,11.7736
2025-12-31,7.2218800000000005
2026-01-01,1.2313
2026-01-02,2.4557599999999997
2026-01-03,0.00755
2026-01-04,1.92741
2026-01-05,3.7446900000000003
2026-01-06,0.29106
2026-01-07,0.01124
2026-01-08,0.0055
2026-01-09,0.0
2026-01-10,0.76845
2026-01-11,0.56804
2026-01-12,0.05403
